epoch,total time,train loss,lr,val loss
0,0,3.8348448032252542,9.999999999999159e-07,3.730714091675819
1,0,3.535146410847123,1.0000356517399396e-06,3.4413131792421288
2,0,3.3150647524287344,1.0001426069545898e-06,3.323058134558573
3,0,3.2475348884753164,1.0003208656289043e-06,3.234329980232812
4,0,3.2210725991412845,1.0005704277372962e-06,3.2452152664261744
5,0,3.230922308835116,1.0008912932442035e-06,3.2385767346861734
6,0,3.211737500812756,1.001283462103656e-06,3.2306424406911596
7,0,3.208764176348071,1.001746934259926e-06,3.2461234613650105
8,0,3.219890515869658,1.002281709646443e-06,3.2056225407330285
9,0,3.20943286752632,1.00288778818753e-06,3.2182305375964657
10,0,3.214570901094577,1.0035651697960172e-06,3.209070734895034
11,0,3.2088321075811015,1.0043138543756273e-06,3.2127276886405283
12,0,3.2105630397108555,1.0051338418190243e-06,3.218689693880908
13,0,3.1858749962472297,1.006025132009765e-06,3.211667994543307
14,0,3.197462814538854,1.0069877248201301e-06,3.223272010081076
15,0,3.195700239653539,1.0080216201130768e-06,3.2089894851508167
16,0,3.1894312310872484,1.0091268177407197e-06,3.2030136164902263
17,0,3.194972930532513,1.010303317545416e-06,3.211176449852872
18,0,3.210268117992737,1.0115511193593309e-06,3.2208722967632935
19,0,3.205692998086563,1.0128702230042218e-06,3.197915780751002
20,0,3.192153679516064,1.0142606282916543e-06,3.215116332032088
21,0,3.189685742404382,1.0157223350232194e-06,3.2079925840300634
22,0,3.1933247587209483,1.0172553429903166e-06,3.1912917008978785
23,0,3.1875649353470465,1.0188596519743708e-06,3.1852301421193028
24,0,3.1973822858254457,1.0205352617457478e-06,3.1891177892684937
25,0,3.1981059378187724,1.0222821720659234e-06,3.206873478917028
26,0,3.1978538628092403,1.0241003826850972e-06,3.1809323281911066
27,0,3.1858888398345244,1.025989893343928e-06,3.2052767621299436
28,0,3.189110177935976,1.0279507037724497e-06,3.1801488936981026
29,0,3.184247795809571,1.029982813690938e-06,3.2003312393420003
